image_id,filename,source_type,width,height,orientation,quality,difficulty,number_of_rooms,has_dimensions,has_text,source,license,date_collected
FP_0001,FP_0001.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0002,FP_0002.jpg,CAD,1920,1080,landscape,MEDIUM,EASY,,YES,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0003,FP_0003.jpg,CAD,1920,1080,landscape,MEDIUM,EASY,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0004,FP_0004.jpg,CAD,1920,1080,landscape,MEDIUM,EASY,,YES,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0005,FP_0005.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0006,FP_0006.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,NO,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0007,FP_0007.jpg,CAD,1920,1080,landscape,MEDIUM,EASY,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0008,FP_0008.jpg,CAD,1920,1080,landscape,MEDIUM,EASY,,YES,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0009,FP_0009.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0010,FP_0010.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,YES,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0011,FP_0011.jpg,CAD,1920,1080,landscape,HIGH,EASY,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0012,FP_0012.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0013,FP_0013.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,NO,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0014,FP_0014.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0015,FP_0015.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0016,FP_0016.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0017,FP_0017.jpg,CAD,1920,1080,landscape,MEDIUM,EASY,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0018,FP_0018.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0019,FP_0019.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
FP_0020,FP_0020.jpg,CAD,1920,1080,landscape,LOW,MEDIUM,,NO,YES,Public_Dataset (Roboflow: kt-nyjuw/floor-plan-nnoub),CC BY 4.0,2026-09-06
