image_id,filename,reasons,quality,difficulty,blur_var,edge_density,rotation_clean_frac
FP_0065,FP_0065.jpg,highest_clutter,HIGH,MEDIUM,4436.18,0.12446,0.996
FP_0067,FP_0067.jpg,highest_clutter,HIGH,MEDIUM,5173.03,0.15283,1.0
FP_0071,FP_0071.jpg,highest_clutter,HIGH,MEDIUM,5957.43,0.11782,0.996
FP_0083,FP_0083.jpg,highest_clutter,HIGH,MEDIUM,5291.01,0.15144,1.0
FP_0086,FP_0086.jpg,highest_clutter,HIGH,MEDIUM,4193.84,0.13732,1.0
FP_0100,FP_0100.jpg,highest_clutter,HIGH,MEDIUM,5351.3,0.1534,1.0
FP_0109,FP_0109.jpg,highest_clutter,HIGH,MEDIUM,4650.35,0.11893,1.0
FP_0110,FP_0110.jpg,highest_clutter,HIGH,MEDIUM,4309.28,0.12738,1.0
FP_0119,FP_0119.jpg,highest_clutter,HIGH,MEDIUM,6725.03,0.16917,1.0
FP_0126,FP_0126.jpg,highest_clutter,HIGH,MEDIUM,5558.28,0.15044,1.0
FP_0127,FP_0127.jpg,highest_clutter,HIGH,MEDIUM,5065.7,0.1181,1.0
FP_0137,FP_0137.jpg,lowest_sharpness,LOW,MEDIUM,413.15,0.01506,1.0
FP_0140,FP_0140.jpg,lowest_sharpness,LOW,MEDIUM,391.08,0.03948,1.0
FP_0147,FP_0147.jpg,difficulty=HARD,HIGH,HARD,4478.97,0.11007,0.865
FP_0185,FP_0185.jpg,difficulty=HARD,LOW,HARD,1692.94,0.06761,0.88
FP_0191,FP_0191.jpg,lowest_sharpness,LOW,MEDIUM,385.48,0.01235,1.0
FP_0205,FP_0205.jpg,difficulty=HARD,HIGH,HARD,4464.98,0.11328,0.88
FP_0219,FP_0219.jpg,most_rotated,HIGH,MEDIUM,2754.06,0.04631,0.609
FP_0243,FP_0243.jpg,difficulty=HARD,HIGH,HARD,4293.3,0.10695,0.84
FP_0252,FP_0252.jpg,difficulty=HARD,HIGH,HARD,4401.51,0.11148,0.896
FP_0256,FP_0256.jpg,most_rotated,MEDIUM,MEDIUM,2197.22,0.02961,0.741
FP_0274,FP_0274.jpg,most_rotated,HIGH,MEDIUM,2688.02,0.0423,0.744
FP_0278,FP_0278.jpg,lowest_sharpness,LOW,MEDIUM,379.48,0.03989,1.0
FP_0373,FP_0373.jpg,difficulty=HARD,LOW,HARD,1718.82,0.06761,0.993
FP_0394,FP_0394.jpg,lowest_sharpness,LOW,MEDIUM,396.45,0.0463,1.0
FP_0404,FP_0404.jpg,difficulty=HARD,LOW,HARD,1668.17,0.06552,0.958
FP_0420,FP_0420.jpg,difficulty=HARD,HIGH,HARD,2466.64,0.06893,0.852
FP_0425,FP_0425.jpg,lowest_sharpness,LOW,MEDIUM,383.94,0.0119,1.0
FP_0457,FP_0457.jpg,most_rotated,HIGH,MEDIUM,2589.62,0.04482,0.745
FP_0483,FP_0483.jpg,difficulty=HARD,MEDIUM,HARD,2087.02,0.07914,0.879
FP_0488,FP_0488.jpg,most_rotated,HIGH,MEDIUM,2485.12,0.03938,0.591
FP_0549,FP_0549.jpg,difficulty=HARD,LOW,HARD,1567.81,0.0647,1.0
FP_0619,FP_0619.jpg,lowest_sharpness,LOW,MEDIUM,372.05,0.03788,1.0
FP_0636,FP_0636.jpg,difficulty=HARD,LOW,HARD,1675.39,0.06617,0.935
FP_0803,FP_0803.jpg,difficulty=HARD,MEDIUM,HARD,1783.81,0.07528,0.856
FP_0809,FP_0809.jpg,difficulty=HARD|most_rotated,LOW,HARD,1122.07,0.03371,0.74
FP_0813,FP_0813.jpg,difficulty=HARD|most_rotated,LOW,HARD,1176.92,0.03515,0.699
FP_0817,FP_0817.jpg,difficulty=HARD|lowest_sharpness,LOW,HARD,308.77,0.0701,0.979
FP_0819,FP_0819.jpg,difficulty=HARD,MEDIUM,HARD,2343.65,0.09221,0.884
FP_0823,FP_0823.jpg,difficulty=HARD|most_rotated,LOW,HARD,1501.22,0.06882,0.626
FP_0827,FP_0827.jpg,difficulty=HARD,LOW,HARD,1509.2,0.04152,0.806
FP_0841,FP_0841.jpg,lowest_sharpness,LOW,MEDIUM,175.31,0.03192,0.988
FP_0854,FP_0854.jpg,difficulty=HARD,LOW,HARD,1159.81,0.03021,0.863
FP_0863,FP_0863.jpg,difficulty=HARD,LOW,HARD,687.45,0.03204,0.82
FP_0884,FP_0884.jpg,most_rotated,MEDIUM,MEDIUM,2155.42,0.05326,0.659
FP_0888,FP_0888.jpg,difficulty=HARD|lowest_sharpness|most_rotated,LOW,HARD,407.43,0.02136,0.781
FP_0911,FP_0911.jpg,lowest_sharpness,LOW,MEDIUM,97.25,0.01541,1.0
FP_0918,FP_0918.jpg,lowest_sharpness,LOW,MEDIUM,87.96,0.0152,1.0
FP_0919,FP_0919.jpg,lowest_sharpness,LOW,MEDIUM,354.02,0.0151,1.0
FP_0921,FP_0921.jpg,difficulty=HARD|most_rotated,LOW,HARD,993.33,0.02529,0.583
FP_0923,FP_0923.jpg,lowest_sharpness,LOW,MEDIUM,208.88,0.0313,0.983
FP_0924,FP_0924.jpg,difficulty=HARD,LOW,HARD,905.91,0.10666,1.0
FP_0927,FP_0927.jpg,difficulty=HARD,LOW,HARD,1044.91,0.09172,0.988
FP_0933,FP_0933.jpg,difficulty=HARD|most_rotated,LOW,HARD,1184.91,0.01922,0.711
FP_0935,FP_0935.jpg,most_rotated,HIGH,MEDIUM,3955.22,0.04921,0.177
FP_0943,FP_0943.jpg,difficulty=HARD,LOW,HARD,1322.51,0.02027,0.851
FP_0950,FP_0950.jpg,difficulty=HARD|most_rotated,LOW,HARD,1219.97,0.01812,0.649
FP_0955,FP_0955.jpg,difficulty=HARD,LOW,HARD,450.3,0.02713,0.883
FP_0965,FP_0965.jpg,difficulty=HARD,LOW,HARD,1325.99,0.06606,1.0
FP_0966,FP_0966.jpg,difficulty=HARD,LOW,HARD,1466.87,0.06539,1.0
FP_0977,FP_0977.jpg,difficulty=HARD,LOW,HARD,1733.94,0.04179,0.831
FP_1003,FP_1003.jpg,difficulty=HARD,LOW,HARD,1330.35,0.06667,1.0
FP_1039,FP_1039.jpg,highest_clutter,HIGH,MEDIUM,4444.22,0.13337,1.0
FP_1045,FP_1045.jpg,highest_clutter,HIGH,MEDIUM,4159.65,0.14057,1.0
FP_1046,FP_1046.jpg,highest_clutter,HIGH,MEDIUM,4366.44,0.1276,1.0
FP_1050,FP_1050.jpg,highest_clutter,HIGH,MEDIUM,5704.08,0.11822,0.994
FP_1054,FP_1054.jpg,highest_clutter,HIGH,MEDIUM,5127.03,0.11799,1.0
FP_1059,FP_1059.jpg,highest_clutter,HIGH,MEDIUM,5369.56,0.12834,1.0
FP_1060,FP_1060.jpg,highest_clutter,HIGH,MEDIUM,4774.76,0.12852,1.0
FP_1064,FP_1064.jpg,highest_clutter,HIGH,MEDIUM,5795.17,0.16146,1.0
FP_1070,FP_1070.jpg,difficulty=HARD,MEDIUM,HARD,2407.36,0.06699,0.872
FP_1076,FP_1076.jpg,difficulty=HARD,LOW,HARD,1565.02,0.0649,1.0
FP_1154,FP_1154.jpg,difficulty=HARD,MEDIUM,HARD,1985.24,0.0763,0.899
FP_1217,FP_1217.jpg,most_rotated,HIGH,MEDIUM,2756.84,0.04782,0.705
FP_1250,FP_1250.jpg,lowest_sharpness,LOW,MEDIUM,380.01,0.02368,0.902
FP_1253,FP_1253.jpg,difficulty=HARD|most_rotated,HIGH,HARD,2457.87,0.09083,0.652
FP_1255,FP_1255.jpg,difficulty=HARD|most_rotated,LOW,HARD,1535.85,0.06765,0.613
FP_1269,FP_1269.jpg,most_rotated,MEDIUM,MEDIUM,2276.41,0.05513,0.778
FP_1272,FP_1272.jpg,most_rotated,MEDIUM,MEDIUM,2162.55,0.05573,0.248
FP_1288,FP_1288.jpg,lowest_sharpness,LOW,MEDIUM,334.15,0.01504,0.906
FP_1289,FP_1289.jpg,lowest_sharpness,LOW,MEDIUM,75.1,0.00865,1.0
FP_1290,FP_1290.jpg,difficulty=HARD,HIGH,HARD,2792.47,0.07222,0.864
FP_1303,FP_1303.jpg,difficulty=HARD,LOW,HARD,1458.45,0.06465,1.0
FP_1309,FP_1309.jpg,difficulty=HARD,LOW,HARD,1320.96,0.06553,1.0
FP_1332,FP_1332.jpg,highest_clutter,HIGH,MEDIUM,5268.29,0.12834,1.0
FP_1414,FP_1414.jpg,difficulty=HARD,LOW,HARD,1740.03,0.07125,1.0
FP_1434,FP_1434.jpg,difficulty=HARD,LOW,HARD,870.14,0.02922,0.822
FP_1449,FP_1449.jpg,lowest_sharpness,LOW,MEDIUM,165.82,0.00411,1.0
FP_1450,FP_1450.jpg,difficulty=HARD|most_rotated,MEDIUM,HARD,1979.41,0.10531,0.766
FP_1451,FP_1451.jpg,difficulty=HARD,HIGH,HARD,2664.53,0.08005,0.808
FP_1452,FP_1452.jpg,difficulty=HARD,LOW,HARD,1461.71,0.06984,1.0
FP_1455,FP_1455.jpg,lowest_sharpness,LOW,MEDIUM,156.55,0.02225,1.0
FP_1457,FP_1457.jpg,lowest_sharpness,LOW,MEDIUM,185.17,0.01788,1.0
